book_id;title;num_pages;ratings_count;description;genre;book_id_mapping
45032;Mansfield Park;443.0;;Fanny Price is born to a poor family, but is sent to her mother's rich relations to be brought up with her cousins. There she is treated as an inferior by all except her cousin Edmund, whose kindness towards her earns him her steadfast love. Fanny is quiet and obedient and does not come into her own until her elder cousins leave the estate following a scandalous play put on in their father's absence. Fanny's loyalty and love is tested by the beautiful Crawford siblings. But their essentially weak natures and morals show them for what they really are, and allow Fanny to gain the one thing she truly desires.;['children', 'fiction', 'history, historical fiction, biography', 'romance'];10
15749186;To All the Boys Ive Loved Before To All the Boys Ive Loved Before 1;373.0;;"What if all the crushes you ever had found out how you felt about them… all at once?     Sixteen-year-old Lara Jean Covey keeps her love letters in a hatbox her mother gave her. They aren’t love letters that anyone else wrote for her; these are ones she’s written. One for every boy she’s ever loved—five in all. When she writes, she pours out her heart and soul and says all the things she would never say in real life, because her letters are for her eyes only. Until the day that her sister Kathrine, secretly mailed the letters and Lara Jean’s love life goes from imaginary to out of control.";['children', 'fiction', 'romance', 'young-adult'];11
17314430;Wait for You Wait for You 1;;;;['fiction', 'romance'];12
10210;Jane Eyre;480.0;;"The novel is set somewhere in the north of England. Jane's childhood at Gateshead Hall, where she is emotionally and physically abused by her aunt and cousins; her education at Lowood School, where she acquires friends and role models but also suffers privations and oppression; her time as the governess of Thornfield Hall, where she falls in love with her Byronic employer, Edward Rochester; her time with the Rivers family, during which her earnest but cold clergyman cousin, St John Rivers, proposes to her. Will she or will she not marry him?";['fiction', 'history, historical fiction, biography', 'romance'];13
2800905;The Summoning Darkest Powers 1;;;;['fiction'];14
350;Stranger in a Strange Land;438.0;;"Stranger in a Strange Land is a 1961 science fiction novel by American author Robert A. Heinlein. It tells the story of Valentine Michael Smith, a human who comes to Earth in early adulthood after being born on the planet Mars and raised by Martians. The novel explores his interaction with—and eventual transformation of—terrestrial culture. The title is an allusion to the phrase in Exodus 2:22. According to Heinlein, the novel's working title was The Heretic. Several later editions of the book have promoted it as ""The most famous Science Fiction Novel ever written"".";['fiction', 'non-fiction'];15
24337;Ella Enchanted;249.0;;In this novel based on the story of Cinderella, Ella struggles against the childhood curse that forces her to obey any order given to her.;['children', 'fantasy, paranormal', 'fiction', 'young-adult'];16
9361589;The Night Circus;512.0;;The circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des Rêves, and it is only open at night. But behind the scenes, a fierce competition is underway—a duel between two young magicians, Celia and Marco, who have been trained since childhood expressly for this purpose by their mercurial instructors. Unbeknownst to them, this is a game in which only one can be left standing, and the circus is but the stage for a remarkable battle of imagination and will. Despite themselves, however, Celia and Marco tumble headfirst into love—a deep, magical love that makes the lights flicker and the room grow warm whenever they so much as brush hands. True love or not, the game must play out, and the fates of everyone involved, from the cast of extraordinary circus per formers to the patrons, hang in the balance, suspended as precariously as the daring acrobats overhead. Written in rich, seductive prose, this spell-casting novel is a feast for the senses and the heart. - Publisher.;['fantasy, paranormal', 'fiction', 'history, historical fiction, biography', 'romance'];17
38619;Magic Bites Kate Daniels 1;260.0;;Mercenary Kate Daniels cleans up urban problems of a paranormal kind. But her latest prey, a pack of undead warriors, presents her greatest challenge.;['fantasy, paranormal', 'fiction'];18
7937462;The Short Second Life of Bree Tanner Twilight 35;178.0;147305.0;"Bree Tanner can barely remember life before she had uncannily powerful senses, superhuman reflexes, and unstoppable physical strength. Life before she had a relentless thirst for blood...life before she became a vampire.
All Bree knows is that living with her fellow newborns has few certainties and even fewer rules: watch your back, don't draw attention to yourself, and above all, make it home by sunrise or die. What she doesn't know: her time as an immortal is quickly running out.
Then Bree finds an unexpected friend in Diego, a newborn just as curious as Bree about their mysterious creator, whom they only know as her. As they come to realize that the newborns are pawns in a game larger than anything they could have imagined, Bree and Diego must choose sides and decide whom to trust. But when everything you know about vampires is based on a lie, how do you find the truth?";['young-adult', 'fantasy, paranormal', 'fiction', 'romance'];19
890;Of Mice and Men;119.0;;"The second book in John Steinbeck’s labor trilogy, Of Mice and Men is a touching tale of two migrant laborers in search of work and eventual liberation from their social circumstances. Fiercely devoted to one another, George and Lennie plan to save up to finance their dream of someday owning a small piece of land. The pair seems unstoppable until tragedy strikes and their hopes come crashing down, forcing George to make a difficult decision regarding the welfare of his best friend.    The novel is set on a ranch in Soledad, CA. Author Frank Bergon recalls reading Of Mice and Men for the first time as a teenager living in the San Joaquin Valley and remembers how he saw “as if in a jolt of light the ordinary surroundings of [his] life become worthy of literature.” Steinbeck works to propagate the notion that meaningful stories emerge from the marginalized; that even those on the fringes of society can make deserving contributions to the literary canon.    Source: http://www.steinbeck.org/about-john/his-works/      ----------  Also contained in:   - [Cannery Row / Of Mice and Men](https://openlibrary.org/works/OL23172W/Cannery_Row_Of_Mice_and_Men)   - [Grapes of Wrath / The Moon is Down / Cannery Row / East of Eden / Of Mice and Men][1]   - [Novels and Stories 1932-1937](https://openlibrary.org/works/OL23167W)   - [Short Novels of John Steinbeck](https://openlibrary.org/works/OL23185W/The_Short_Novels_of_John_Steinbeck)   - [Steinbeck](https://openlibrary.org/works/OL23183W/Steinbeck)   - [Steinbeck Pocket Book](https://openlibrary.org/works/OL16051131W/The_Steinbeck_Pocket_Book)      [1]: https://openlibrary.org/works/OL23165W/The_Grapes_of_Wrath_The_Moon_is_Down_Cannery_Row_East_of_Eden_Of_Mice_and_Men";['fiction'];20
140082;Club Dead Sookie Stackhouse 3;295.0;;Sookie's boyfriend has been very distant-in another state, distant. Now she's off to Mississippi to mingle with the underworld at Club Dead-a little haunt where the vampire elite go to chill out. But when she finally finds Bill-caught in an act of betrayal-she's not sure whether to save him...or sharpen some stakes.;['fantasy, paranormal', 'fiction', 'mystery, thriller, crime', 'romance'];21
3682;A Great and Terrible Beauty Gemma Doyle 1;;;;['fiction'];22
14061955;Siege and Storm The Grisha 2;431.0;;Hunted across the True Sea and haunted by the lives she took on the Fold, Alina must try to make a life with Mal in an unfamiliar land, all while keeping her identity as the Sun Summoner a secret.;['children', 'fantasy, paranormal', 'fiction', 'romance', 'young-adult'];23
355697;All Quiet on the Western Front;232.0;;;['fiction'];24
11564;The Girl Who Loved Tom Gordon;264.0;97308.0;Nine-year-old Trisha McFarland strays from the path while she and her recently divorced mother and brother take a hike along a branch of the Appalachian Trail. Lost for days, wandering farther and farther astray, Trisha has only her portable radio for comfort. A huge fan of Tom Gordon, a Boston Red Sox relief pitcher, she listens to baseball games and fantasizes that her hero will save her. Nature isn't her only adversary, though - something dangerous may be tracking Trisha through the dark woods.;['fiction', 'mystery, thriller, crime', 'fantasy, paranormal'];25
480479;Under the Tuscan Sun;284.0;;Now in paperback, the #1 San Francisco Chronicle bestseller that is an enchanting and lyrical look at the life, the traditions, and the cuisine of Tuscany, in the spirit of Peter Mayle's *A Year in Provence*.    Frances Mayes entered a wondrous new world when she began restoring an abandoned villa in the spectacular Tuscan countryside. There were unexpected treasures at every turn: faded frescos beneath the whitewash in her dining room, a vineyard under wildly overgrown brambles in the garden, and, in the nearby hill towns, vibrant markets and delightful people. In *Under the Tuscan Sun*, she brings the lyrical voice of a poet, the eye of a seasoned traveler, and the discerning palate of a cook and food writer to invite readers to explore the pleasures of Italian life and to feast at her table.  From the Trade Paperback edition.;['fiction', 'non-fiction', 'romance'];26
28186;The Sea of Monsters Percy Jackson and the Olympians 2;;;;['fiction'];27
18131;A Wrinkle in Time A Wrinkle in Time Quintet 1;112.0;;;['children', 'fiction', 'non-fiction'];28
6527740;Last Sacrifice Vampire Academy 6;352.0;;St. Vladimir's Academy isn't just any boarding school-it's a hidden place where vampires are educated in the ways of magic and half-human teens train to protect them. Rose Hathaway is a Dhampir, a bodyguard for her best friend Lissa, a Moroi Vampire Princess. They've been on the run, but now they're being dragged back to St. Vladimir's-the very place where they're most in danger...Rose and Lissa become enmeshed in forbidden romance, the Academy's ruthless social scene, and unspeakable nighttime rituals. But they must be careful lest the Strigoi-the world's fiercest and most dangerous vampires-make Lissa one of them forever.;['children', 'fantasy, paranormal', 'fiction', 'young-adult'];29
2702704;Faefever Fever 3;327.0;69480.0;"The New York Timesbestselling author of DarkfeverandBloodfever returns to Dublin's Fae-infested shores in a bold, sensual new novel. Hurtling us into a realm of seduction and shadows, Karen Marie Moning tells the enthralling tale of a woman who explores the limits of her mysterious powers as she enters a world of ancient sorcery--and confronts an enemy more insidious than she could ever have imagined.
He calls me his Queen of the Night. I'd die for him. I'd kill for him, too. When MacKayla Lane receives a torn page from her dead sister's journal, she is stunned by Alina's desperate words. And now MacKaylaknows that her sister's killer is close. But evil is closer. And suddenly the sidhe-seer is on the hunt: For answers. For revenge. And for an ancient book of dark magic so evil, it corrupts anyone who touches it.
Mac's quest for the Sinsar Dubhtakes her into the mean, shape-shifting streets of Dublin, with a suspicious cop on her tail. Forced into a dangerous triangle of alliance with V'lane, an insatiable Fae prince of lethally erotic tastes, and Jericho Barrons, a man of primal desires and untold secrets, Mac is soon locked in a battle for her body, mind, and soul.
As All Hallows' Eve approaches and the city descends into chaos, as a shocking truth about the Dark Book is uncovered, not even Mac can prevent a deadly race of immortals from shattering the walls between worlds--with devastating consequences....";['fantasy, paranormal', 'romance', 'mystery, thriller, crime', 'fiction', 'young-adult'];30
7126;The Count of Monte Cristo;1240.0;;The Count of Monte Cristo is a timeless tale of adventure, revenge, and redemption.    Published in 1844, it follows Edmond Dantès, a young sailor falsely imprisoned for treason. After escaping from prison and discovering a hidden fortune, Dantès reinvents himself as the mysterious Count of Monte Cristo, seeking vengeance against those who wronged him.    Filled with intrigue, complex characters, and thrilling plot twists, this classic novel explores themes of justice, betrayal, and the transformative power of hope.;['fiction'];31
8908;World War Z An Oral History of the Zombie War;;;;['fiction'];32
1241;A Million Little Pieces;430.0;;"""The most lacerating tale of drug addiction since William S. Burroughs' Junky."" --The Boston Globe""Again and again, the book delivers recollections that leave the reader winded and unsteady. James Frey's staggering recovery memoir could well be seen as the final word on the topic.""--San Francisco Chronicle""A brutal, beautifully written memoir.""--The Denver Post""Gripping . . . A great story . . . You can't help but cheer his victory."" --Los Angeles Times Book ReviewFrom the Trade Paperback edition.";['fiction', 'history, historical fiction, biography', 'non-fiction'];33
10917;My Sisters Keeper;447.0;;With her penetrating insight into the hearts and minds of real people, Jodi Picoult's My Sister's Keeper examines what it means to be a good parent, a good sister, a good person, and what happens when emotions meet with scientific advances. ***Now a major film.***     Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. **Anna was conceived as a bone marrow match for Kate a life and a role that she has never questioned until now.**    **Like most teenagers, Anna is beginning to ask herself who she truly is.** But unlike most teenagers, she has always been defined in terms of her sister - and so Anna makes a decision that for most would be unthinkable a decision that will tear her family apart and have **perhaps fatal consequences for the sister she loves.**    **Told from multiple points of view, My Sister's Keeper examines what it means to be a good parent, a good sister, a good person.** Is it morally correct to do whatever it takes to save a child's life . . . even if that means infringing upon the rights of another? Should you follow your own heart, or let others lead you?    **Once again, in My Sister's Keeper, *Jodi Picoult tackles a controversial real-life subject with grace, wisdom, and sensitivity.***;['children', 'fiction', 'young-adult'];34
15881;Harry Potter and the Chamber of Secrets Harry Potter 2;237.0;;Part 1 of 2 of [Harry Potter and the Chamber of Secrets](https://openlibrary.org/works/OL82537W/Harry_Potter_and_the_Chamber_of_Secrets);['fiction'];35
304027;Lover Unbound Black Dagger Brotherhood 5;;;;['fantasy, paranormal', 'fiction', 'non-fiction'];36
22544764;Uprooted;438.0;;"""Our Dragon doesn't eat the girls he takes, no matter what stories they tell outside our valley. We hear them sometimes, from travelers passing through. They talk as though we were doing human sacrifice, and he were a real dragon. Of course that's not true: he may be a wizard and immortal, but he's still a man, and our fathers would band together and kill him if he wanted to eat one of use every ten years. He protects us against the Wood, and we're grateful, but not that grateful.""";['fantasy, paranormal', 'fiction', 'romance'];37
233649;The Great Hunt Wheel of Time 2;672.0;;"Now in development for TV!    Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters.    The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.    For centuries, gleemen have told the tales of The Great Hunt of the Horn. So many tales about each of th Hunters, and so many Hunters to tell of...Now the Horn itself is found: the Horn of Valere long thought only legend, the Horn which will raise the dead heroes of the ages. And it is stolen.    TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —*Variety*    The Wheel of Time**®**  New Spring: The Novel  #1 The Eye of the World  #2 The Great Hunt  #3 The Dragon Reborn  #4 The Shadow Rising  #5 The Fires of Heaven  #6 Lord of Chaos  #7 A Crown of Swords  #8 The Path of Daggers  #9 Winter's Heart  #10 Crossroads of Twilight  #11 Knife of Dreams    By Robert Jordan and Brandon Sanderson  #12 The Gathering Storm  #13 Towers of Midnight  #14 A Memory of Light";['fantasy, paranormal', 'fiction', 'history, historical fiction, biography'];38
5129;Brave New World;241.0;;Originally published in 1932, this outstanding work of literature is more crucial and relevant today than ever before. Cloning, feel-good drugs, antiaging programs, and total social control through politics, programming, and media -- has Aldous Huxley accurately predicted our future? With a storyteller's genius, he weaves these ethical controversies in a compelling narrative that dawns in the year 632 AF (After Ford, the deity). When Lenina and Bernard visit a savage reservation, we experience how Utopia can destroy humanity. A powerful work of speculative fiction that has enthralled and terrified readers for generations, Brave New World is both a warning to be heeded and thought-provoking yet satisfying entertainment. - Container.;['fiction', 'history, historical fiction, biography', 'non-fiction'];39
960;Angels Demons Robert Langdon 1;;;;['fiction'];40
10692;The Historian;661.0;;"To you, perceptive reader, I bequeath my history....Late one night, exploring her father's library, a young woman finds an ancient book and a cache of yellowing letters. The letters are all addressed to ""My dear and unfortunate successor,"" and they plunge her into a world she never dreamed of-a labyrinth where the secrets of her father's past and her mother's mysterious fate connect to an inconceivable evil hidden in the depths of history.    The letters provide links to one of the darkest powers that humanity has ever known-and to a centuries-long quest to find the source of that darkness and wipe it out. It is a quest for the truth about Vlad the Impaler, the medieval ruler whose barbarous reign formed the basis of the legend of Dracula. Generations of historians have risked their reputations, their sanity, and even their lives to learn the truth about Vlad the Impaler and Dracula. Now one young woman must decide whether to take up this quest herself-to follow her father in a hunt that nearly brought him to ruin years ago, when he was a vibrant young scholar and her mother was still alive. What does the legend of Vlad the Impaler have to do with the modern world? Is it possible that the Dracula of myth truly existed-and that he has lived on, century after century, pursuing his own unknowable ends?    The answers to these questions cross time and borders, as first the father and then the daughter search for clues, from dusty Ivy League libraries to Istanbul, Budapest, and the depths of Eastern Europe. In city after city, in monasteries and archives, in letters and in secret conversations, the horrible truth emerges about Vlad the Impaler's dark reign-and about a time-defying pact that may have kept his awful work alive down through the ages.Parsing obscure signs and hidden texts, reading codes worked into the fabric of medieval monastic traditions-and evading the unknown adversaries who will go to any lengths to conceal and protect Vlad's ancient powers—one woman comes ever closer to the secret of her own past and a confrontation with the very definition of evil.    Elizabeth Kostova's debut novel is an adventure of monumental proportions, a relentless tale that blends fact and fantasy, history and the present, with an assurance that is almost unbearably suspenseful—and utterly unforgettable.";['fantasy, paranormal', 'fiction', 'history, historical fiction, biography'];41
5098079;Lover Avenged Black Dagger Brotherhood 7;736.0;;The brothers are back—the latest installment in J. R. Ward’s sizzling #1New York Times bestselling series.J. R. Ward’s Black Dagger Brotherhood novels have introduced readers to a “different, creative, dark, violent, and flat-out amazing” (All About Romance)world. Now, as the vampire warriors defend their race against their slayers, one male’s loyalty to the Brotherhood will be tested—and his dangerous mixed blood revealed…Rehvenge has always kept his distance from the Brotherhood—even though his sister is married to a member, for he harbors a deadly secret that could make him a huge liability in their war against the lessers. As plots within and outside of the Brotherhood threaten to reveal the truth about Rehvenge, he turns to the only source of light in his darkening world, Ehlena, a vampire untouched by the corruption that has its hold on him—and the only thing standing between him and eternal destruction.;['fantasy, paranormal', 'fiction', 'romance'];42
2;Harry Potter and the Order of the Phoenix Harry Potter 5;303.0;;Part of [Harry Potter and the Order of the Phoenix](https://openlibrary.org/works/OL82548W/Harry_Potter_and_the_Order_of_the_Phoenix).;['fantasy, paranormal', 'fiction', 'young-adult'];43
3478;Message in a Bottle;366.0;;"Divorced and disillusioned about relationships, Theresa Osborne is jogging when she finds a bottle on the beach. Inside is a letter of love and longing to ""Catherine,"" signed simply ""Garrett."" Challenged by the mystery and pulled by emotions she doesn't fully understand, Theresa begins a search for this man that will change her life. What happens to her is unexpected, perhaps miraculous-an encounter that embraces all our hopes for finding someone special, for having a love that is timeless and everlasting.... Nicholas Sparks exquisitely chronicles the human heart. In his first bestselling novel, The Notebook, he created a testament to romantic love that touched readers around the world. Now in this New York Times bestseller, he renews our faith in destiny, in the ability of lovers to find each other no matter where, no matter when...";['fiction', 'romance'];44
22034;The Godfather;450.0;;"The Godfather is a crime novel by American author Mario Puzo. Originally published in 1969 by G. P. Putnam's Sons, the novel details the story of a fictional Mafia family in New York City (and Long Beach, New York), headed by Vito Corleone. Puzo's dedication for The Godfather is ""For Anthony Cleri"". The novel's epigraph is by the French author Honoré de Balzac: ""Behind every great fortune there is a crime."" The novel covers the years 1945 to 1955 and includes the back story of Vito Corleone from early childhood to adulthood.      ----------  Also contained in:     - [The Godfather / The Fortunate Pilgrim](https://openlibrary.org/works/OL7920005W)   - [The Godfather / The Last Don](https://openlibrary.org/works/OL1673242W)";['fiction', 'mystery, thriller, crime', 'romance'];45
100915;The Lion the Witch and the Wardrobe Chronicles of Narnia 1;;;;['fiction'];46
10572;A Clash of Kings A Song of Ice and Fire 2;761.0;534960.0;"Alternate cover edition can be found .
Time is out of joint. The summer of peace and plenty, ten years long, is drawing to a close, and the harsh, chill winter approaches like an angry beast. Two great leaders--Lord Eddard Stark and Robert Baratheon--who held sway over an age of enforced peace are dead...victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns, as pretenders to the Iron Throne of the Seven Kingdoms prepare to stake their claims through tempest, turmoil, and war.
As a prophecy of doom cuts across the sky--a comet the color of blood and flame--six factions struggle for control of a divided land. Eddard's son Robb has declared himself King in the North. In the south, Joffrey, the heir apparent, rules in name only, victim of the scheming courtiers who teem over King's Landing. Robert's two brothers each seek their own dominion, while a disfavored house turns once more to conquest. And a continent away, an exiled queen, the Mother of Dragons, risks everything to lead her precious brood across a hard hot desert to win back the crown that is rightfully hers.
A Clash of Kings transports us into a magnificent, forgotten land of revelry and revenge, wizardry and wartime. It is a tale in which maidens cavort with madmen, brother plots against brother, and the dead rise to walk in the night. Here a princess masquerades as an orphan boy; a knight of the mind prepares a poison for a treacherous sorceress; and wild men descend from the Mountains of the Moon to ravage the countryside.
Against a backdrop of incest and fratricide, alchemy and murder, the price of glory may be measured in blood. And the spoils of victory may just go to the men and women possessed of the coldest steel...and the coldest hearts. For when rulers clash, all of the land feels the tremors.
Audacious, inventive, brilliantly imagined, A Clash of Kings is a novel of dazzling beauty and boundless enchantment;a tale of pure excitement you will never forget.";['fantasy, paranormal', 'fiction', 'history, historical fiction, biography'];47
12220;A Streetcar Named Desire;142.0;;A Streetcar Named Desire is one of the most remarkable plays of our time. It created an immortal woman in the character of Blanche DuBois, the haggard and fragile southern beauty whose pathetic last grasp at happiness is cruelly destroyed. It shot Marlon Brando to fame in the role of Stanley Kowalski, a sweat-shirted barbarian, the crudely sensual brother-in-law who precipitated Blance's tragedy.    Produced across the world and translated into many languages, A Streetcar Named Desire has won one of the widest audiences in contemporary literature.    Also contained in:   - [New Voices in the American Theatre](https://openlibrary.org/works/OL15163013W/New_Voices_in_the_American_Theatre)   - [Plays 1937 - 1955](https://openlibrary.org/works/OL15077942W/Plays_1937_-_1955);['fiction'];48
21996;The Devil in the White City Murder Magic and Madness at the Fair That Changed America;;;;['fiction'];49
1934;Little Women Little Women 1;424.0;;Louisa May Alcotts classic novel, set during the Civil War, has always captivated even the most reluctant readers. Little girls, especially, love following the adventures of the four March sisters--Meg, Beth, Amy, and most of all, the tomboy Jo--as they experience the joys and disappointments, tragedies and triumphs, of growing up. This simpler version captures all the charm and warmth of the original.;['children', 'fiction', 'history, historical fiction, biography', 'young-adult'];50
6400090;The Last Song;390.0;;"#1 bestselling author Nicholas Sparks's new novel is at once a compelling family drama and a heartrending tale of young love.Seventeen year old Veronica ""Ronnie"" Miller's life was turned upside-down when her parents divorced and her father moved from New York City to Wilmington, North Carolina. Three years later, she remains angry and alientated from her parents, especially her father...until her mother decides it would be in everyone's best interest if she spent the summer in Wilmington with him. Ronnie's father, a former concert pianist and teacher, is living a quiet life in the beach town, immersed in creating a work of art that will become the centerpiece of a local church.The tale that unfolds is an unforgettable story of love on many levels--first love, love between parents and children -- that demonstrates, as only a Nicholas Sparks novel can, the many ways that love can break our hearts...and heal them.";['fiction', 'romance', 'young-adult'];51
46787;Uncle Toms Cabin;451.0;;"This unforgettable novel tells the story of Tom, a devoutly Christian slave who chooses not to escape bondage for fear of embarrassing his master. However, he is soon sold to a slave trader and sent down the Mississippi, where he must endure brutal treatment. This is a powerful tale of the extreme cruelties of slavery, as well as the price of loyalty and morality. When first published, it helped to solidify the anti-slavery sentiments of the North, and it remains today as the book that helped move a nation to civil war.    ""So this is the little lady who made this big war."" Abraham Lincoln's legendary comment upon meeting Mrs. Stowe has been seriously questioned, but few will deny that this work fed the passions and prejudices of countless numbers. If it did not ""make"" the Civil War, it flamed the embers. That Uncle Tom's Cabin is far more than an outdated work of propaganda confounds literary criticism. The novel's overwhelming power and persuasion have outlived even the most severe of critics. As Professor John William Ward of Amherst College points out in his incisive Afterword, the dilemma posed by Mrs. Stowe is no less relevant today than it was in 1852: What is it to be ""a moral human being""? Can such a person live in society -- any society? Commenting on the timeless significance of the book, Professor Ward writes: ""Uncle Tom's Cabin is about slavery, but it is about slavery because the fatal weakness of the slave's condition is the extreme manifestation of the sickness of the general society, a society breaking up into discrete, atomistic individuals where human beings, white or black, can find no secure relation one with another. Mrs. Stowe was more radical than even those in the South who hated her could see. Uncle Tom's Cabin suggests no less than the simple and terrible possibility that society has no place in it for love."" - Back cover.";['fiction', 'history, historical fiction, biography', 'young-adult'];52
7686667;Delirium Delirium 1;;;;['fiction'];53
