
"WINNER, Business: Personal Finance/Investing, 2015 USA Best Book Awards FINALIST, Business: Reference, 2015 USA Best Book Awards Investor Behavior provides readers with a comprehensive understanding and the latest research in the area of behavioral finance and investor decision making. Blending contributions from noted academics and experienced practitioners, this 30-chapter book will provide investment professionals with insights on how to understand and manage client behavior; a framework for interpreting financial market activity; and an in-depth understanding of this important new field of investment research. The book should also be of interest to academics, investors, and students. The book will cover the major principles of investor psychology, including heuristics, bounded rationality, regret theory, mental accounting, framing, prospect theory, and loss aversion. Specific sections of the book will delve into the role of personality traits, financial therapy, retirement planning, financial coaching, and emotions in investment decisions. Other topics covered include risk perception and tolerance, asset allocation decisions under inertia and inattention bias; evidenced based financial planning, motivation and satisfaction, behavioral investment management, and neurofinance. Contributions will delve into the behavioral underpinnings of various trading and investment topics including trader psychology, stock momentum, earnings surprises, and anomalies. The final chapters of the book examine new research on socially responsible investing, mutual funds, and real estate investing from a behavioral perspective. Empirical evidence and current literature about each type of investment issue are featured. Cited research studies are presented in a straightforward manner focusing on the comprehension of study findings, rather than on the details of mathematical frameworks.",Business & Economics,645.0,,Investor Behavior The Psychology of Financial Planning and Investing
"This critical, historical, and theoretical study looks at a little-known group of novels written during the 1930s by women who were literary radicals. Arguing that class consciousness was figured through metaphors of gender, Paula Rabinowitz challenges the conventional wisdom that feminism as a discourse disappeared during the decade. She focuses on the ways in which sexuality and maternity reconstruct the “classic” proletarian novel to speak about both the working-class woman and the radical female intellectual. Two well-known novels bracket this study: Agnes Smedley’s Daughters of Earth (1929) and Mary McCarthy’s The Company She Keeps (1942). In all, Rabinowitz surveys more than forty novels of the period, many largely forgotten. Discussing these novels in the contexts of literary radicalism and of women’s literary tradition, she reads them as both cultural history and cultural theory. Through a consideration of the novels as a genre, Rabinowitz is able to theorize about the interrelationship of class and gender in American culture. Rabinowitz shows that these novels, generally dismissed as marginal by scholars of the literary and political cultures of the 1930s, are in fact integral to the study of American fiction produced during the decade. Relying on recent feminist scholarship, she reformulates the history of literary radicalism to demonstrate the significance of these women writers and to provide a deeper understanding of their work for twentieth-century American cultural studies in general.",Social Science,237,,Labor and Desire Womens Revolutionary Fiction in Depression America
"In The Gingrich Senators, noted political scientist Sean Theriault documents how former House members, who learned politics at the knee of Newt Gingrich, have been behind the transformation of the U.S. Senate from the venerated chamber of the 1950s into the partisan battleground that is regularly the scorn of even the senators themselves.",Biography & Autobiography,253,,The Gingrich Senators The Roots of Partisan Warfare in Congress
"Sir Ian Botham and the Ashes are as closely intertwined as willow and leather or Merv Hughes and his moustache. You simply cannot think of one without the other. In this book, Sir Ian takes you on a ride through a lifetime's relationship with cricket's oldest and most treasured prize, revealing just how it has shaped his life and how he has helped to turn it into the contest it is today. From the moment he first watched the likes of Ken Barrington stride to the wicket in jaw-jutting defiance to the day he flayed Australia's bowling attack around Headingley as if playing with his mates in the park, and then onwards to his role in commentating on what was arguably the finest series of the lot, in 2005, Sir Ian has a rich and varied connection with the Ashes, and he tells all here. The Ashes is a series that has provided incredible highs and heartbreaking lows for English and Australian fans alike over the past 35 years. Sir Ian has often been at the centre of the roller-coaster ride. Whether it is his account of his days as England's dogsbody in 1977 in Melbourne or the story of his refusal to let Bob Willis bowl downwind until he was angry enough to skittle the Aussies in 1981, all is revealed in depth in Botham's Book of the Ashes.",Sports & Recreation,190,,Bothams Book of the Ashes A Lifetime Love Affair with Crickets Greatest Rivalry
"I culti esoterici di Demetra e Kore, tra Atene ed Eleusi, sullo sfondo di una serie di delitti. Aristotele vi legge la trama di una cospirazione ma anche lo smarrimento del suo mondo classico.",Fiction,605,,Aristotele e i misteri di Eleusi
"“What do you do for a living?” Whether you have a great answer to that question (“I have an important job!”) or a not-so-great answer (“I’m unemployed!”), the problem of defining ourselves by what we do instead of who we know, means that our self-worth is tied to our performance, instead of who we are as a son or daughter of God. Justin S. ...",Religion,13,,What Do You Do
Previously published as two separate titles.,Gardening,405,,Terence Conrans DIY By Design Over 30 Projects To Make and More Than 100 Design Ideas For Every Room In Your Home
"The three-quarters of a century between 1715 and 1789 are often seen as the last years of Europe's old order. But a dramatic rise in Europe's population, the agricultural and industrial revolutions in Britain, and the unprecedented challenges of the Enlightenment began to shake the foundations of the old regime well before 1789. Drawing on the best contemporary scholarship, especially the innovations of French social history, Isser Woloch paints an unusually rich and detailed portrait of eighteenth-century European life and society. Among the new topics he covers are the family economy of the poor, popular culture and the circulation of books, changing patterns of crime and punishment, and the social history of military and religious institutions.",Enlightenment,364,,EighteenthCentury Europe Tradition and Progress 17151789
"I've learned that surviving isn't all it's cracked up to be. NOW: Icie's parents gave her $10,000 in cash, a map of a top-secret bunker, and instructions to get there by any means necessary. They have news of an imminent viral attack and know that the bunker is Icie's only hope for survival. She and three other teens live locked away for months, not knowing what's happening in the outside world or who has survived. Then one day, Icie discovers a shocking secret deep in the bunker. Are they really safe there after all? THEN: Generations in the future, the world has changed, and a mysterious cult worships the very mountain where Icie's secret bunker was built. The people never leave the mountain, they're ruled by Beckett, a teenager...and they have surprising ties to Icie. Icie and Beckett must both fight to survive while protecting a secret that could destroy their civilizations. This high-stakes, original, and thought-provoking adventure follows two unlikely heroes, hundreds of years apart.",Young Adult Fiction,232,,Half Bad Half Life 1
"Three mini-plays by the German wunderkind and asylum-dweller. Fairy Tales gathers the unconventional verse dramolettes of the Swiss writer Robert Walser. Narrated in Walser's inimitable, playful language, these theatrical pieces overturn traditional notions of the fairy tale, transforming the Brothers Grimm into metatheater, even metareflections. Snow White forgives the evil queen for trying to kill her, Cinderella doubts her prince and enjoys being hated by her evil stepsisters; the Fairy Tale itself is a character who encourages her to stay within the confines of the story. Sleeping Beauty, the royal family, and its retainers are not happy about being woken from their sleep by an absurd, unpretentious, Walser-like hero. Mary and Joseph are taken aback by what lies in store for their baby Jesus.",Drama,118,,Fairy Tales Dramolettes
,Police,223,,Wycliffe and the Cycle of Death
"Arrth, a Bigfoot tween, has lived a sheltered and somewhat lonely life until he runs into a skin-faced human. The ugly monster almost scares Arrth right out of his fur. He has to hide or he'll be in big trouble with his parents and the clan. But when the monster tries to shoot an innocent rabbit, Arrth must act. His brave deed backfires and the Bigfoot clan is in danger of discovery. Or worse, total destruction. When it becomes clear that Arrth is the only one who can save the clan, he leaves the safety of Bigfoot Valley in the desperate hope of saving his kind.",Juvenile Fiction,212,,Little Bigfoot Goes to Town
"This touching memoir tells a true story of a families survival and how a mother The Fishermans Wife, battled with hardship that trailed a devastating tragedy. The fishermans son tells his story with an innocent, childlike perspective intertwined with spiritual reflection of a time full of pain, triumph, laughter, and adventure.",Biography & Autobiography,109,,The Fisherman
"Jack London was an American novelist, journalist and social activist. Pioneering the genre of magazine fiction and prototyping science fiction, he became one of the first writers, who gained worldwide fame and a large fortune. ""Smoke Bellew"" is a set of stories that tells the tale of Christopher Bellew who, When Klondike fever emerges, starts a journey over mountains and rivers to seek fortune. Taking the name ""Smoke,"" he learns how to survive and thrive in the wild lands of the frontier.",Fiction,329,,Smoke
"Yearning to escape her life of prostitution in 1870s London, Sugar finds her fate entangled in the complicated family life of patron William, an egotistical perfume magnate.",Fiction,856,1.0,The Crimson Petal and the White
"July 2005. In the Pyrenees mountains near Carcassonne, Alice, a volunteer at an archaeological dig, stumbles into a cave and makes a startling discovery-two crumbling skeletons, strange writings on the walls, and the pattern of a labyrinth. Eight hundred years earlier, on the eve of a brutal crusade that will rip apart southern France, a young woman named Alais is given a ring and a mysterious book for safekeeping by her father. The book, he says, contains the secret of the true Grail, and the ring, inscribed with a labyrinth, will identify a guardian of the Grail. Now, as crusading armies gather outside the city walls of Carcassonne, it will take a tremendous sacrifice to keep the secret of the labyrinth safe.",Fiction,529.0,1.0,Labyrinth Languedoc Trilogy 1
"Victoria Bricker shows that ""history"" sometimes rests on mythological foundations and that ""myth"" can contain valid historical information. Her book, which is a highly original critique of postconquest historiography about the Maya, challenges major assumptions about the relationship between myth and history implicit in structuralist interpretations. The focus of the book is ethnic conflict, a theme that pervades Maya folklore and is also well documented historically. The book begins with the Spanish conquest of the Maya. In chapters on the postconquest history of the Maya, five ethnic conflicts are treated in depth: the Cancuc revolt of 1712, the Quisteil uprising of 1761, the Totonicapan rebellion of 1820, the Caste War of Yucatan (1847-1901), and the Chamulan uprising in 1869. Analytical chapters consider the relationship between historical events and modern folklore about ethnic conflict. Bricker demonstrates that myths and rituals emphasize structure at the expense of temporal and geographical provenience, treating events separated by centuries or thousands of miles as equivalent and interchangeable. An unexpected result of Bricker's research is the finding that many seemingly aboriginal elements in Maya folklore are actually of postconquest origin, and she shows that it is possible to determine precisely when and, more important, why they become part of myth and ritual. Furthermore, she finds that the patterning of the accretion of events in folklore over time provides clues to the function, or meaning, of myth and ritual for the Maya. Bricker has made use of many unpublished documents in Spanish, English, and Maya, as well as standard synthetic historical works. The appendices contain extensive samples of the oral traditions that are explained by her analysis.",Social Science,383.0,,The Serpent and the Rose War of the Rose 1
,,,,Lugas
,,,,8 Nozoki Ana 8
"Rebecca Mead was a young woman in a coastal town of England when she first read George Eliot's Middlemarch. After gaining admission to Oxford, and moving to the United States to become a journalist, through several love affairs and then marriage and family, Rebecca Mead reread Middlemarch. The novel, which Virginia Woolf famously described as ""one of the few English novels written for grown-up people,"" offered Mead something that modern life and literature did not. In this wise and revealing work of biography, reporting, and memoir, Rebecca Mead leads the reader into the life that her favorite book made for her, as well as the many lives the novel has led since it was written. Employing a structure that perfectly mirrors that of the novel, My Life in Middlemarch takes the themes of Eliot's novel and brings them into the world. Offering both a fascinating reading of Eliot's biography and an uncanny portrait of the ways in which Mead's life echoes that of the author herself, My Life in Middlemarch is a book for who wonders about the power of literature to shape our lives.",Biography & Autobiography,250.0,,My Life in Middlemarch
"Neil Young is a unique rock icon, with a career unrivaled in its breadth and innovation. This celebration of the man and his music tells Young's story through classic and rare images, record artwork, contemporary press materials, and more. It traces his work with Crazy Horse, Buffalo Springfield, and Crosby, Stills, Nash & Young; his solo albums and tours; and his activism.",Country music,0.0,,Neil Young The Definitive History
"Double the holiday magic with two Frosty the Snowman Step into Reading books in one! Based on the classic Frosty the Snowman holiday TV special from 1969, this deluxe Step into Reading book features two leveled readers in one! First, Boys and girls can discover all of Frosty's favorite colors in A Colorful Christmas. Then they can flip the book over and read the sweet, simple retelling of the classic Frosty the Snowman story in Snow Day. A fun, festive pullout poster adds to the fun! For more than 45 years, Frosty the Snowman has been a delight for children everywhere with its magical story about a snowman that comes to life.",Juvenile Fiction,28.0,,Amadis Snowman A Story of Reading
,,,,The Cost of Doing Business
"""Offers early Super-Man stories in which the Man of Steel deals with corrupt officials, blackmarketeers, and costumed villains with occasional help from Lois Lane."" -- Amazon.com.","Comic books, strips, etc",0.0,,Superman Archives Vol 2
"Who am I? Who are you? Who is God? What should I do? What is the meaning of life? All of these questions have one ultimate answer: Just Love. But our human nature craves more answers to even more questions in order to address the challenges of life. This first volume of the ‘Questions & Answers’ series of JUST LOVE contains questions posed to Paramahamsa Sri Swami Vishwananda in a number of Satsangs given around the world. The main themes found within this book are Love, Consciousness, Spirituality, and Acceptance, while more than 130 questions include: ‘What is Love?’, ‘What is Self-Realisation?’ and ‘Is 2012 the dawn of a new age?’","Body, Mind & Spirit",190.0,,Love Means Patience
"Entre los muchos métodos existentes para determinar el pasado, el presente y el porvenir, el arte de leer el Tarot se erigió con particular preeminencia sobre todos los demás. Las cartas del Tarot constituyen una manera interesante de resolver esa ansiedad humana atemporal que jamás cesó por conocer el futuro, y al mismo tiempo pueden simbolizarnos un profundo viaje al interior de nosotros mismos si las empleamos de modo terapéutico. Pero, ¿realmente predicen algo las cartas o es una condición especial de ciertas personas que ofician de intérpretes de este oráculo? Esta es una discusión posiblemente tan vieja como la historia misma del Tarot. En esta obra, no obstante, nos ocuparemos de su significado psicológico -si es posible encontrarle alguno- a través de un abordaje arquetipal que, bien utilizado, puede ser terapéutico. Por ende, una herramienta nada despreciable y portadora de una riquísima simbología, de la que echar mano en la consultoría transpersonal.Cartas redondas, cuadradas, rectangulares. Tarot digital, informatizado, aplicaciones para celulares, tablets e innumerables dispositivos tecnológicos. Con el nuevo milenio este legendario arte sigue cautivando a personas de remotos confines y muy inconexos entre sí. No pierde su magia, y se han escrito cientos de tratados y estudios tanto esotéricos como psicosociológicos sobre él. Y posiblemente seguirá cautivando a los seres humanos mucho tiempo más.",,182.0,,El Tarot del inconsciente Abordaje teraputico transpersonal
,,,,The Body Electric
"This comprehensive book explores the transformative role of artificial intelligence (AI) in business innovation and research. It provides a solid foundation in AI technologies, such as machine learning, natural language processing, and computer vision, and examines how they reshape business models and revolutionize industries. The book highlights the strategic implications of AI in enhancing customer experience, optimizing operations, and enabling data-driven decision-making. It explores the integration of AI with emerging trends like IoT, blockchain, and cloud computing for innovation. The role of AI in advancing scientific discovery and academic research is also explored, addressing challenges and opportunities in AI-driven methodologies. Organizational and ethical dimensions of AI implementation are considered, including talent acquisition, skills development, and data governance. Real-world case studies showcase AI's transformative power across diverse industries. This forward-thinking guide equips academics, researchers, and business leaders with knowledge and insights to harness the potential of AI and contribute to innovation and research.",Technology & Engineering,917.0,,AI Revolution Vol 1
,Dairy products in human nutrition,192.0,,Vache lait Dix mythes de lindustrie laitire
"Unlike some other reproductions of classic texts (1) We have not used OCR(Optical Character Recognition), as this leads to bad quality books with introduced typos. (2) In books where there are images such as portraits, maps, sketches etc We have endeavoured to keep the quality of these images, so they represent accurately the original artefact. Although occasionally there may be certain imperfections with these old texts, we feel they deserve to be made available for future generations to enjoy.",,382.0,,War Stories Volume 3
"When civilization crumbles in one terrifying moment; when people are gleefully breaking into unthinkable acts of violence all around you; when everyone you love has died screaming in agony: What do you do? There is no help. There is no hope. There is no escape. There are only the Crossed. This is a horrifically visceral exploration of pure evil committed by depraved, twisted humans",Good and evil,0.0,,Crossed Volume 15
"""Future Taylor's world was devastated by the realization that one of her closest friends led to the devastation of Chooga. Now as she helps a new town of survivors prepare for the organized attack of the evolved Crossed, she realizes that her best efforts may not be enough. The Crossed have a plan and they are coming. No amount of wishful fiction will prevent the conflict to come."" -- From back cover.",Comics & Graphic Novels,0.0,,Crossed One Hundred Volume 2 Crossed 100 2
,,,,War Stories Volume 4
"Renko, a former Senior Investigator in the Moscow Prosecutor's Office, is appointed to investigate the death of a girl who surfaces in a ship's catch. While the other officers put through a suicide verdict, Renko pursues his search and discovers why so many crewmen seem intent on murder.",Fiction,0.0,,Polar Star Arkady Renko 2
"This comprehensive and up-to-date volume contains 367 papers presented at the 29th International Conference on Coastal Engineering, held in Lisbon, Portugal, 19-24 September 2004. It is divided into five parts: waves; long waves, nearshore currents, and swash; sediment transport and morphology; coastal management, beach nourishment, and dredging; coastal structures. The contributions cover a broad range of topics including theory, numerical and physical modeling, field measurements, case studies, design, and management. Coastal Engineering 2004 provides engineers, scientists, and planners state-of-the-art information on coastal engineering and coastal processes.The proceedings have been selected for coverage in:",Science,4836.0,,The Breaker New Waves Vol 11
"INTERNATIONAL BESTSELLER • Earthy, magical, and utterly charming, this tale of family life in turn-of-the-century Mexico blends poignant romance, bittersweet wit, and delicious recipes. This classic love story takes place on the De la Garza ranch, as the tyrannical owner, Mama Elena, chops onions at the kitchen table in her final days of pregnancy. While still in her mother's womb, her daughter to be weeps so violently she causes an early labor, and little Tita slips out amid the spices and fixings for noodle soup. This early encounter with food soon becomes a way of life, and Tita grows up to be a master chef, using cooking to express herself and sharing recipes with readers along the way.",Fiction,180.0,17.0,Like Water
,,,,Beautee and the Beast
The story of the O.S.S. penetration of Germany to capture Hitler during World War II. Covers previously hidden details of daring OSS heroes who penetrated the heart of history's most ferocious police state.,Fiction,424.0,,Piercing the Reich
,,,,Combat and Other Shenanigans
"Provides easy access to every word and its reference in the NRSV and includes an index to alternate and ""literal"" translations found in the footnotes of the NRSV, also features a phrase concordance and topical index.",Religion,1724.0,,The Blood and Light Series Blood and Light 16
,,,,A Monster Calls
,,,,The Loved One
"Hindu rituals and customs at Pushkara Tīrtha, Hindu pilgrimage center; case studies.",Hindu pilgrims and pilgrimages,200.0,,Tirthraj Pushkar
"On June 27, 1977, an intruder entered Glensheen, the stately manor built along the Lake Superior shore by Chester A. Congdon, patriarch of one of Duluth, Minnesota's, most generous and respected families. Before leaving with a basketful of stolen jewelry, the intruder used a satin pillow to smother Chester's last surviving daughter, Elisabeth Congdon, after killing the heiress's valiant nurse, Velma Pietila, by beating her with a candlestick -- crimes set in motion by a hastily hand-written will penned just days before the killings. For the first time the story of the Glensheen killings and the crimes and trials surrounding Marjorie Caldwell Hagen, Elisabeth Congdon's notorious adopted daughter, is told through the eyes of former Duluth Police Detective and St. Louis County Sheriff Gary Waller and St. Louis County Prosecutor John DeSanto, the men who led the investigation and prosecution of Marjorie and her husband, Roger Caldwell.",Cold cases (Criminal investigation),0.0,1.0,Will to Murder The True Story Behind the Crimes Trials Surrounding the Glensheen Killings
A new edition of a book that has changed the way we think about sexual conduct and combat.,History,373.0,,One Gay American
"A traditional lullaby celebrating the beauty and wonder of the nighttime sky. Includes hardcover book, online music access, and music CD.",Juvenile Nonfiction,25.0,,Twinkle Twinkle Little Star
"FINALIST FOR THE BELLWETHER PRIZE Nelly Grace is starting over. With her two young sons, Nelly has fled to the simple stone house built by her great-grandfather in the moneyed horse country of Maryland in order to escape the grief of her husband’s death—and perhaps find a way back to her first love: photography. Easing her transition into this strange, mannered world is Emma Crofton, the grand matriarch of the foxhunting community, and Emma’s son, Dac, a handsome yet distant horse trainer. As Nelly slowly makes her way back to the camera, she must come to terms with her troubled relationship with her father, a photojournalist who chose fame over family. But when she finally sees him again, Nelly’s fragile new beginning is threatened by revelations of a secret past, and the fears that kept it hidden.",Fiction,354.0,,The Language of Light A Novel
"Fun And Colorful Illustrations Will Take You Through The Nursery Rhyme, Itsy Bitsy Spider.",Juvenile Fiction,10.0,,Itsy Bitsy Spider
,,,,Humpty Dumpty
,,,,Misteri Perawan Kubur
"Parigi 1785. La corte del re Luigi XVI sta per essere travolta dallo scandalo del secolo, passato alla storia come l'affare della collana. L'intrigo, ordito da una nobildonna decaduta, assetata di denaro e bramosa di scalare i vertici dell'alta società parigina e di avere un ruolo a corte, coinvolge nelle sue trame l'ambizioso cardinale Rohan, il sedicente mago e alchimista Cagliostro, fidatissimo amico dell'alto prelato, e la stessa regina Maria Antonietta, spianando la strada alla Rivoluzione dell'89. L'affare della collana non resta confinato fra le mura dei tribunali, ma diventa subito di pubblico dominio. Le arringhe degli avvocati vanno a ruba come bestseller, molti scrittori si arricchiscono con pamphlet scandalistici venduti in migliaia di copie. La Francia si appassiona alla vicenda e si divide fra innocentisti e colpevolisti. Ma il debole re Luigi non ne coglie appieno la portata e lascia che le cose seguano il loro corso, accelerando così il tramonto e la fine della monarchia francese. Il libro di Roberto Gervaso ricostruisce l'intera vicenda in tutti i particolari, compresi quelli più piccanti, dipingendo l'affresco storico di un'epoca di grandi mutamenti che vede l'ascesa della borghesia e la nascita della società moderna.",Biography & Autobiography,170.0,,La regina lalchimista e il cardinale
"Caleb LePaige is back! The brutal, calculating master criminal has escaped from the maximum security prison where he was placed after trying to kill Grandma Mina and has returned to The Falls.Chasing after him comes the prison's arrogant warden, Malcolm Strasberg and his cold-blooded second in command, Hans Bergdorf. Hold your breath while Sheriff Cash Green confronts his number one nemisis while trying to deal with the ego-centric, cruel warden. Yamato's grandparents visit, Jeremy Burman prepares to leave for college and his cousin Parnell tries to land Jeremy's old job in the library with Miss Eunice. Put on your flak jacket and return to The Falls for all the excitement! Come back to The Falls for the 11th book in The Falls small town mystery series!",,312.0,,The Falls
"Don't miss the first epic She-Ra and the Princesses of Power graphic novel, based on stories by showrunner Noelle Stevenson! Even after everything that's happened, the world outside the Horde's walls is still a strange one to Adora. Each day she's learning more about her growing powers as She-Ra, including something new: the ability to heal corrupted runestones. Runestones are the magical source from which princesses like Frosta, Mermista, and Perfuma draw their power, but Glimmer knows of another runestone -- one with a dark past. Long ago a fire princess ruled the lands to the west, until her thirst for power corrupted her, and led to the ruin of her kingdom. Glimmer thinks the lost fire runestone could give the Rebellion an edge in the fight against the Horde, but claiming this ancient power won't be easy... especially not when the Horde has their eyes set on the same prize.Don't miss this original graphic novel based on stories by She-Ra showrunner and New York Times bestselling author Noelle Stevenson, with script by Gigi D.G. and art by Paulina Ganucheau!",Juvenile Fiction,132.0,1.0,Princess of Fire Fire 1
